                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2912,                 4.8737,                 1.6483,                0.20865,                0.04286,                0.01132,                0.00446,                 1.8721,                 4.6719,                 1.5167,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 2.1104,                 3.2744,                  1.436,                0.40495,                0.50404,                 0.5128,                0.24008,                 1.6768,                 3.0786,                 1.3777,             0.00016005,             0.00016005,             0.00016005
                      3,                  1.872,                 1.9429,                 1.2944,                0.54849,                0.53356,                0.56493,                0.29422,                  1.621,                 4.0282,                 1.3715,             0.00023529,             0.00023529,             0.00023529
                      4,                 1.7058,                 1.5302,                 1.2296,                0.42834,                0.63712,                0.61584,                0.33929,                 1.5076,                 2.2849,                 1.2799,             0.00030349,             0.00030349,             0.00030349
                      5,                 1.6961,                 1.3719,                 1.1626,                 0.4603,                0.77312,                0.65104,                0.38707,                 1.4821,                 1.9187,                  1.226,             0.00036466,             0.00036466,             0.00036466
                      6,                 1.6704,                 1.3025,                 1.1732,                0.67998,                0.65134,                0.64258,                0.35854,                 1.5176,                 2.2233,                 1.2914,             0.00041878,             0.00041878,             0.00041878
                      7,                 1.5962,                  1.236,                 1.1418,                0.75534,                0.64953,                0.66066,                0.36218,                  1.559,                 2.2956,                 1.3108,             0.00046586,             0.00046586,             0.00046586
                      8,                 1.5978,                 1.1555,                 1.1469,                0.65777,                0.75473,                0.72377,                0.38206,                 1.5663,                 1.6728,                 1.3019,             0.00050591,             0.00050591,             0.00050591
                      9,                 1.5559,                  1.095,                 1.0943,                0.69209,                0.66747,                0.67844,                0.36659,                 1.5409,                 1.6809,                 1.2967,             0.00053891,             0.00053891,             0.00053891
                     10,                 1.5026,                 1.0984,                 1.1203,                0.49569,                0.80335,                0.66312,                0.35941,                 1.5782,                 1.4363,                 1.3107,             0.00056488,             0.00056488,             0.00056488
                     11,                 1.5607,                  1.036,                 1.0918,                0.74028,                 0.6419,                0.73836,                0.40787,                 1.5268,                 1.3955,                 1.2866,             0.00058381,             0.00058381,             0.00058381
                     12,                 1.5842,                 1.0185,                 1.1142,                0.78519,                0.68537,                0.78087,                0.43029,                  1.489,                 1.5697,                  1.263,              0.0005957,              0.0005957,              0.0005957
                     13,                 1.5396,                 1.0129,                 1.1072,                0.69632,                 0.7054,                0.77733,                0.44079,                 1.4762,                  1.224,                 1.2269,             0.00058305,             0.00058305,             0.00058305
                     14,                 1.4483,                0.95813,                 1.0813,                0.73279,                0.86111,                0.80824,                0.42202,                 1.5366,                 1.1916,                 1.2465,             0.00058305,             0.00058305,             0.00058305
                     15,                  1.419,                0.94171,                 1.0712,                0.75034,                0.80647,                0.78843,                0.40095,                 1.5802,                 1.2294,                 1.2908,             0.00053906,             0.00053906,             0.00053906
                     16,                 1.3616,                 0.9567,                 1.0511,                0.72441,                0.78315,                0.77627,                0.41104,                  1.567,                  1.123,                 1.2918,             0.00049506,             0.00049506,             0.00049506
                     17,                 1.3622,                0.90586,                 1.0521,                0.78089,                0.81326,                0.84742,                0.47447,                 1.4831,                 1.1288,                  1.254,             0.00045107,             0.00045107,             0.00045107
                     18,                 1.3147,                0.85989,                 1.0592,                0.80743,                0.82063,                0.85306,                0.46249,                 1.4537,                  1.168,                 1.2298,             0.00040707,             0.00040707,             0.00040707
                     19,                 1.3068,                0.81745,                 1.0044,                0.77752,                 0.8616,                0.85449,                 0.4615,                  1.468,                 1.2102,                 1.2486,             0.00036307,             0.00036307,             0.00036307
                     20,                 1.3143,                  0.803,                 1.0261,                0.86919,                 0.7419,                0.83067,                 0.4614,                 1.4643,                 1.1397,                 1.2373,             0.00031908,             0.00031908,             0.00031908
                     21,                 1.2598,                0.78263,                 1.0094,                0.84732,                0.80327,                0.84788,                0.47435,                 1.4543,                 1.1151,                 1.2239,             0.00027508,             0.00027508,             0.00027508
                     22,                 1.2476,                0.74906,                 1.0042,                0.84934,                0.78197,                0.85231,                0.47821,                 1.4579,                 1.0128,                 1.2193,             0.00023109,             0.00023109,             0.00023109
                     23,                 1.2746,                0.73686,                  1.028,                0.85882,                0.79109,                0.84192,                0.47028,                 1.4551,                0.97642,                 1.2259,             0.00018709,             0.00018709,             0.00018709
                     24,                 1.2435,                0.71254,                 1.0091,                0.83339,                0.78639,                0.83784,                0.47581,                 1.4762,                0.97899,                 1.2415,              0.0001431,              0.0001431,              0.0001431
                     25,                 1.2322,                0.69931,                   1.02,                0.83889,                0.78639,                0.83274,                0.47184,                  1.477,                0.98685,                  1.241,             9.9101e-05,             9.9101e-05,             9.9101e-05
