                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8142,                 2.3053,                 1.5295,                0.33978,                0.33231,                0.33746,                0.15376,                 1.9399,                  1.851,                 1.6493,             0.00036793,             0.00036793,             0.00036793
                      2,                 1.5885,                  1.833,                 1.4111,                0.40859,                0.45011,                0.38252,                0.16405,                 1.9322,                 2.0355,                 1.6774,             0.00070903,             0.00070903,             0.00070903
                      3,                 1.5638,                 1.8285,                 1.4029,                0.42409,                0.45854,                0.35901,                0.14873,                  1.961,                  1.742,                 1.7043,              0.0010208,              0.0010208,              0.0010208
                      4,                 1.5414,                 1.8031,                 1.3879,                0.57132,                0.46726,                0.46278,                0.20361,                 1.8926,                 1.5672,                 1.6177,             0.00097901,             0.00097901,             0.00097901
                      5,                 1.5105,                 1.7485,                 1.3699,                0.52912,                0.44588,                0.47663,                0.19335,                 1.8865,                 1.5589,                 1.6294,             0.00097901,             0.00097901,             0.00097901
                      6,                 1.4776,                  1.713,                 1.3517,                0.58166,                0.49286,                0.52497,                0.25707,                 1.7707,                  1.392,                 1.5567,             0.00093502,             0.00093502,             0.00093502
                      7,                 1.4504,                 1.7011,                 1.3395,                0.49834,                 0.5513,                  0.517,                0.22661,                 1.8782,                 1.4491,                 1.6172,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.4217,                 1.6584,                 1.3288,                0.57138,                0.47136,                0.51346,                0.25172,                 1.8732,                 1.4083,                 1.5554,             0.00084703,             0.00084703,             0.00084703
                      9,                 1.3901,                 1.6266,                 1.3122,                0.59668,                0.50102,                0.50878,                0.24444,                 1.7715,                 1.4442,                 1.5265,             0.00080303,             0.00080303,             0.00080303
                     10,                 1.3881,                 1.6046,                 1.3031,                0.70577,                0.50921,                0.56951,                 0.2794,                 1.7295,                 1.2947,                 1.4949,             0.00075904,             0.00075904,             0.00075904
                     11,                 1.3642,                 1.5824,                 1.2986,                0.64677,                0.53632,                 0.5975,                0.30393,                 1.7033,                 1.2663,                 1.4892,             0.00071504,             0.00071504,             0.00071504
                     12,                 1.3512,                 1.5662,                 1.2849,                0.57293,                0.53507,                 0.5447,                0.26785,                 1.7301,                 1.2688,                 1.5074,             0.00067104,             0.00067104,             0.00067104
                     13,                 1.3212,                 1.5418,                 1.2828,                 0.6469,                0.55593,                0.58699,                0.29375,                 1.6819,                 1.2984,                 1.4783,             0.00062705,             0.00062705,             0.00062705
                     14,                 1.3305,                 1.5374,                 1.2689,                0.65316,                0.55043,                0.57686,                0.28349,                  1.683,                 1.2475,                 1.4524,             0.00058305,             0.00058305,             0.00058305
                     15,                 1.2945,                 1.5038,                 1.2598,                0.62202,                0.56896,                0.59888,                0.30077,                 1.6758,                 1.1905,                 1.4414,             0.00053906,             0.00053906,             0.00053906
                     16,                 1.3104,                 1.4949,                 1.2858,                0.65272,                0.59969,                0.62096,                0.32891,                 1.6384,                 1.1746,                 1.4236,             0.00049506,             0.00049506,             0.00049506
                     17,                  1.286,                 1.4473,                 1.2697,                0.63779,                 0.6075,                0.61157,                0.32648,                 1.6289,                 1.1533,                 1.4369,             0.00045107,             0.00045107,             0.00045107
                     18,                 1.2809,                 1.4278,                 1.2674,                0.72278,                 0.5826,                0.65447,                0.34617,                 1.6211,                 1.1159,                 1.4137,             0.00040707,             0.00040707,             0.00040707
                     19,                 1.2534,                 1.3771,                  1.243,                0.67829,                0.59873,                0.62149,                0.32727,                 1.6275,                 1.1364,                 1.4158,             0.00036307,             0.00036307,             0.00036307
                     20,                 1.2356,                 1.3662,                 1.2379,                0.72718,                0.60622,                0.64669,                 0.3409,                 1.6151,                 1.0914,                 1.4109,             0.00031908,             0.00031908,             0.00031908
                     21,                 1.2206,                 1.3357,                 1.2276,                0.70159,                0.62913,                0.66593,                0.35528,                 1.6058,                 1.0553,                 1.3992,             0.00027508,             0.00027508,             0.00027508
                     22,                 1.2098,                  1.324,                 1.2203,                0.71302,                0.60954,                 0.6711,                0.36415,                 1.5942,                 1.0442,                 1.3932,             0.00023109,             0.00023109,             0.00023109
                     23,                  1.202,                 1.3077,                 1.2157,                0.68582,                0.63734,                  0.677,                0.35754,                 1.6047,                 1.0332,                 1.3982,             0.00018709,             0.00018709,             0.00018709
                     24,                 1.1806,                 1.2807,                 1.2053,                  0.722,                0.61357,                0.68388,                0.35239,                 1.6269,                 1.0564,                 1.4133,              0.0001431,              0.0001431,              0.0001431
                     25,                 1.1688,                 1.2664,                 1.1952,                0.72895,                0.64135,                0.69537,                0.36131,                 1.6001,                 1.0203,                 1.3912,             9.9101e-05,             9.9101e-05,             9.9101e-05
